account_id,customer_id,account_number,balance,credit_limit,opened_date,is_active
ACCT-00035,CUST-0016,9876215340,174300.00,40000.00,2019-12-17,true
ACCT-00036,CUST-0044,2340978615,59870.45,,2020-04-30,False
ACCT-00037,CUST-0007,7685104293,128600.33,50000.00,2022-08-08,TRUE
ACCT-00038,CUST-0061,1028356749,93450.90,75000.00,2018-06-21,true
ACCT-00039,CUST-0033,4561093872,205700.00,35000.00,2021-01-28,False
ACCT-00040,CUST-0076,8904267135,42180.88,,2019-10-05,TRUE
ACCT-00041,CUST-0020,3297540861,161400.45,60000.00,2020-03-12,true
ACCT-00042,CUST-0057,6730819524,76890.22,45000.00,2022-11-27,False
ACCT-00043,CUST-0004,5163482097,234900.67,25000.00,2018-04-09,TRUE
ACCT-00044,CUST-0048,9406725318,31560.33,80000.00,2021-07-16,true
ACCT-00045,CUST-0028,2849061753,147200.00,55000.00,2019-01-23,False
ACCT-00046,CUST-0065,7182304596,68740.90,40000.00,2020-09-06,TRUE
ACCT-00047,CUST-0011,4625837109,112500.45,70000.00,2022-05-19,true
ACCT-00048,CUST-0053,3058162847,25890.88,,2018-12-02,False
ACCT-00049,CUST-0038,8391470562,189600.00,30000.00,2021-04-25,TRUE
ACCT-00050,CUST-0071,1724098635,57230.33,65000.00,2019-08-10,true
ACCT-00051,CUST-0024,6057321948,141800.67,50000.00,2020-02-22,False
ACCT-00052,CUST-0060,9480657213,84320.22,45000.00,2022-10-07,TRUE
ACCT-00053,CUST-0015,2813940576,,75000.00,2018-07-14,true
ACCT-00054,CUST-0043,5246183709,218700.90,35000.00,2021-11-30,False
ACCT-00055,CUST-0006,7679412053,49560.45,60000.00,2019-05-08,TRUE
ACCT-00056,CUST-0049,3012876345,167100.33,50000.00,2020-11-15,true
ACCT-00057,CUST-0032,8345609127,73890.00,25000.00,2022-03-28,False
ACCT-00058,CUST-0067,1678932450,252400.88,,2018-10-21,TRUE
ACCT-00059,CUST-0022,4901275683,38670.22,80000.00,2021-06-09,true
ACCT-00060,CUST-0054,7234508916,135400.67,55000.00,2019-03-26,False
ACCT-00061,CUST-0039,2567841039,91780.45,40000.00,2020-07-18,TRUE
ACCT-00062,CUST-0073,5890163272,16340.00,70000.00,2022-12-04,true
ACCT-00063,CUST-0018,9123486505,184500.33,45000.00,2018-02-15,False
ACCT-00064,CUST-0064,3456709738,62450.90,,2021-09-03,TRUE
ACCT-00065,CUST-0030,6789042961,228300.45,30000.00,2019-06-20,true
ACCT-00066,CUST-0075,1012376294,53780.88,65000.00,2020-01-31,False
ACCT-00067,CUST-0041,4345619527,139600.00,50000.00,2022-07-13,TRUE
ACCT-00068,CUST-0013,7678942750,81230.22,75000.00,2018-11-26,true
ACCT-00069,CUST-0058,2901285093,197800.67,35000.00,2021-02-11,False
ACCT-00070,CUST-0036,5234518326,44890.33,60000.00,2019-09-04,TRUE
ACCT-00071,CUST-0069,8567851569,158700.90,,2020-05-27,true
ACCT-00072,CUST-0025,3890184702,72100.45,45000.00,2022-09-09,False
ACCT-00073,CUST-0050,6123417935,246500.00,25000.00,2018-04-22,TRUE
ACCT-00074,CUST-0062,9456741068,35240.88,80000.00,2021-08-18,true
ACCT-00075,CUST-0046,2789074291,123800.33,55000.00,2019-12-05,False
ACCT-00076,CUST-0027,5012307524,96450.67,40000.00,2020-06-13,TRUE
ACCT-00001,CUST-0001,4851203947,125340.50,50000.00,2019-03-14,True
ACCT-00010,CUST-0056,2058347169,243100.33,,2019-06-11,TRUE
ACCT-00030,CUST-0066,,116900.33,45000.00,2019-02-06,False
ACCT-00050,CUST-0071,1724098635,57230.33,65000.00,2019-08-10,true
